state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,is_relevant,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place,is_relevant.1,random_number,of_interest
Florida,['shopping'],0,0,0.0,2020-02-04 14:22:13+00:00,1.2246996875438285e+18,@vans_mag Shopping partner miss u!,0,6.997470194186813e+17,JcJcferreyra,0.0,1.0,,,,,,,
Florida,['beach'],0,0,0.0,2020-07-09 04:04:54+00:00,1.2810768388366377e+18,#rich #kanye #trump #lol #fun #pictureoftheday #beach #clothes #Model #money #cash #hot #live #like #florida #rap… https://t.co/1BAtZcordW,0,1.115762454292828e+18,easytosell,0.0,0.0,,,,,,,
Florida,['basketball'],0,0,0.0,2020-05-18 02:56:00+00:00,1.2622153298009539e+18,@Rachel__Nichols The goat at basketball and facial expressions,0,52426290.0,PMKirsch,0.0,1.0,,,,,,,
Florida,['cafe'],0,0,0.0,2020-01-30 22:37:23+00:00,1.22301235780438e+18,the cafe be disappointing me,1,3386373754.0,ShaClercira,0.0,0.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin,,,
Florida,['office'],0,0,0.0,2020-04-02 14:08:36+00:00,1.24571475378953e+18,@CarliSun2 @My_Drama_List I love media office buildings for some reason,0,305363573.0,jeilyVML,0.0,2.0,,,,,,,
Florida,['games'],0,0,0.0,2020-03-14 02:40:05+00:00,1.2386561148722995e+18,"No, I’m not stocking up. Just needed some tortilla chips and vinegar. Thankfully I missed the Hunger Games at Targe… https://t.co/nkgcKFia8F",0,363433362.0,dotmem2,0.0,0.0,"[[-75.7887564, 38.4510398], [-74.984165, 38.4510398], [-74.984165, 39.839007], [-75.7887564, 39.839007]]",United States,"Delaware, USA",admin,,,
Florida,['visit'],0,0,0.0,2020-02-14 21:31:28+00:00,1.228431588947628e+18,Great visit today with Leroy Jones at the Dr. Dorothy Bendross-Mindingall Social and Economic Institute. Looking fo… https://t.co/pNrfiI2EC9,0,1.2120011891364577e+18,DFOFlorida,5.0,15.0,"[[-80.257366, 25.810836], [-80.2252004, 25.810836], [-80.2252004, 25.831765], [-80.257366, 25.831765]]",United States,"Brownsville, FL",city,,,
Florida,['office'],0,0,0.0,2020-03-13 03:29:34+00:00,1.2383061780290478e+18,We have many payment options in the office. We try everything as the Evolve Team to make wellness affordable for yo… https://t.co/qdX7vprk5j,0,1.0558928062695793e+18,evolvefcc,0.0,0.0,,,,,,,
Florida,['games'],0,0,0.0,2020-03-29 02:05:45+00:00,1.2440832936765932e+18,Who wants to play iMessage games,0,7.513366088680817e+17,MichaelGehrich,0.0,0.0,"[[-86.348441, 39.631677], [-85.937404, 39.631677], [-85.937404, 39.927448], [-86.348441, 39.927448]]",United States,"Indianapolis, IN",city,,,
Florida,['shop'],0,0,0.0,2020-01-03 18:43:16+00:00,1.2131689674366484e+18,"New year. New smoker. Firing up the @yodersmokers YS640s at the shop today. The XL @BigGreenEgg got some new shoes,… https://t.co/zEgAXwIiaw",0,4734597797.0,GentrysBBQ,0.0,8.0,"[[-81.507905, 28.3882177], [-81.2276403, 28.3882177], [-81.2276403, 28.615139], [-81.507905, 28.615139]]",United States,"Orlando, FL",city,,,
Florida,['flying'],0,0,0.0,2020-03-25 04:21:45+00:00,1.24266796451781e+18,@imnoactivist But flying back in I heard some shit bout isolation and I’ll be dam if I gotta be stuck,1,1283853577.0,FFUUUCKYOUU,0.0,0.0,"[[-80.22942, 25.9282505], [-80.185106, 25.9282505], [-80.185106, 25.960642], [-80.22942, 25.960642]]",United States,"Norland, FL",city,,,
Florida,['bus'],0,0,0.0,2020-05-31 04:42:12+00:00,1.266953099228389e+18,This video shows the true thugs. Throw these mofos on bus and in jail!!! https://t.co/cpwpL5lBsL,0,1.1542120101685985e+18,HotGirlDori,0.0,0.0,"[[-80.248975, 25.9862279], [-80.107808, 25.9862279], [-80.107808, 26.093132], [-80.248975, 26.093132]]",United States,"Hollywood, FL",city,,,
Florida,['game'],['snapchat'],0,0.0,2020-02-05 01:31:36+00:00,1.2248681421631895e+18,😂😂😂😂😂 weak ass lil cooch game #lol #funny memes #dankmemes  #igers #snapchat #youtube #soundcloudrapper @ Jacksonvi… https://t.co/3lZNXWu6IZ,0,18279966.0,BC_904,0.0,1.0,"[[-81.83121679999999, 30.381439], [-81.316712, 30.381439], [-81.316712, 30.5862338], [-81.83121679999999, 30.5862338]]",United States,"Northside, Ratliff",neighborhood,,,
Florida,['restaurants'],0,0,0.0,2020-07-08 13:59:19+00:00,1.2808640432139139e+18,10 more @duffysmvp restaurants are reopening today after being closed since March.  Is your location on the list?… https://t.co/1J6cBYenNC,0,123807258.0,timallanwalker,2.0,3.0,,,,,,,
Florida,['mass'],['watch'],0,0.0,2020-03-29 12:15:08+00:00,1.244236647333593e+18,For those looking to watch today’s Sunday mass be sure to check on your own diocesan and parish websites. https://t.co/D5IIwDClYP,0,9.638144911997664e+17,RoseSullivan86,2.0,0.0,"[[-73.306456, 40.73782], [-73.278898, 40.73782], [-73.278898, 40.772571], [-73.306456, 40.772571]]",United States,"Baywood, NY",city,,,
Florida,['game'],0,0,0.0,2020-07-01 02:15:02+00:00,1.2781500886369894e+18,Post ya good reps &amp; ya bad it’s part of the game ✊🏾 https://t.co/KnImMkVGtp,0,4913765339.0,Easy_No_Steriod,0.0,1.0,,,,,,,
Florida,['game'],['watched'],0,0.0,2020-02-23 18:09:23+00:00,1.231642222304604e+18,@Xbox Not so much a game but I just watched Rocky Balboa so you tell me.,0,304926336.0,psykotronn,0.0,0.0,"[[-81.483315, 30.598822], [-81.426432, 30.598822], [-81.426432, 30.705597], [-81.483315, 30.705597]]",United States,"Fernandina Beach, FL",city,,,
Florida,['restaurant'],0,0,0.0,2020-05-03 19:59:19+00:00,1.2570370406439076e+18,"I'm at Atlanta Restaurant Exchange - @atlantarex in Atlanta, GA https://t.co/rg82tzr6Ci",0,1481137530.0,ChesterThrash,0.0,0.0,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]",United States,"Atlanta, GA",city,,,
Florida,['airport'],0,0,0.0,2020-01-29 19:40:19+00:00,1.222605409082581e+18,@DevonSellers Dang. Makes me wanna dash over to the airport to pet!!,0,14207777.0,DebbieT11,0.0,1.0,"[[-81.507905, 28.3882177], [-81.2276403, 28.3882177], [-81.2276403, 28.615139], [-81.507905, 28.615139]]",United States,"Orlando, FL",city,,,
Florida,['beach'],0,0,0.0,2020-01-01 07:07:20+00:00,1.2122690560883302e+18,Just posted a photo @ Margaritaville Hollywood Beach Resort https://t.co/MGciJy62kj,0,66394395.0,PROCONA,0.0,0.0,"[[-80.248975, 25.9862279], [-80.107808, 25.9862279], [-80.107808, 26.093132], [-80.248975, 26.093132]]",United States,"Hollywood, FL",city,,,
Florida,['delivery'],['delivery'],0,0.0,2020-03-01 18:05:48+00:00,1.2341780380463473e+18,"@Kristennetten Ha, Ha. Looks like an SNL sketch! Prime delivery discount? 😄",0,2356171.0,tecnocato,0.0,1.0,"[[-71.647639, 42.519409], [-71.590561, 42.519409], [-71.590561, 42.578098], [-71.647639, 42.578098]]",United States,"Fort Devens, MA",city,,,
Florida,['visited'],0,0,0.0,2020-02-08 03:03:08+00:00,1.2259783395690865e+18,"Epic couple of days in Western Massachusetts! We had a ""Green Getaway"" at a completely off the grid B&amp;B, visited ga… https://t.co/hefaYRypoV",1,2715468595.0,traveling1223,11.0,33.0,"[[-72.7298389, 42.28419], [-72.615605, 42.28419], [-72.615605, 42.380065], [-72.7298389, 42.380065]]",United States,"Northampton, MA",city,,,
Florida,['store'],0,0,0.0,2020-03-20 11:37:13+00:00,1.240965614598054e+18,"Be a light in someone’s life today☀️Shop our new arrivals online + in-store today! 
.
.
.
.
.
#thepinknickel… https://t.co/GltRfqDuTG",0,212050664.0,thepinknickel,0.0,0.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin,,,
Florida,['trip'],0,0,0.0,2020-03-12 22:17:53+00:00,1.238227740630925e+18,i stg if work cancels my free trip to texas i’m throwing big fists,0,205499036.0,h0es_sad,0.0,0.0,,,,,,,
Florida,['bar'],0,0,0.0,2020-06-20 00:56:00+00:00,1.274143930796454e+18,@FLMIC Right back at you @FLMIC. Thank you for your Diamond Level sponsorship of the Annual Florida Bar Convention.… https://t.co/mRwUT7gIOa,0,7.280582808582758e+17,terryhill411,1.0,4.0,,,,,,,
Florida,['office'],0,0,0.0,2020-05-04 21:38:06+00:00,1.257424287683752e+18,"@FLDEO After FOUR hours on the phone with your office Friday my son’s is still showing inactive fro 3/15, my daught… https://t.co/v9Oi5FwXNv",0,14399260.0,wwbethdo,0.0,0.0,,,,,,,
