state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,is_relevant,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place
Michigan,0,['switch'],0,0,2020-06-26 15:44:41+00:00,1.27654190214222E+18,@Boston_Auto @CarGuyDad @Robby_DeGraff I only hate them when I have to switch back and forth between vehicles. When… https://t.co/9wTTc6Qglv,0,556974386.0,ajtonge40,0.0,1.0,,,,
Michigan,0,['reading'],0,0,2020-04-06 14:56:48+00:00,1.24717643730977E+18,@MollyJongFast My husband has a PhD and has trouble reading instructions on over the counter medications.,0,76043753.0,niserbugs,0.0,0.0,"[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]",United States,"Michigan, USA",admin
Michigan,0,['post'],0,0,2020-04-08 02:25:42+00:00,1.24771219067471E+18,#ThankfulTuesday post. I’m thankful for the enthusiastic and passionate teachers I’ve had. These paragraphs are tak… https://t.co/fdV3mDwNgg,0,1.10131743979365E+18,mperkinsFPS,1.0,9.0,"[[-82.865385, 42.540675], [-82.769093, 42.540675], [-82.769093, 42.631031], [-82.865385, 42.631031]]",United States,"Harrison, MI",city
Michigan,0,['switches'],0,0,2020-02-18 20:08:32+00:00,1.22986027090803E+18,@SuMi_Meow TOs would probably be so happy not having to carry around computers and managing Switches + PCs,0,133500021.0,danielkaspo,0.0,1.0,,,,
Michigan,0,['homeschool'],0,0,2020-05-12 01:43:28+00:00,1.2600227499777E+18,"@21WIRE If he has severe asthma and other respiratory problems, then homeschool him.",0,373141513.0,tetch2176,0.0,3.0,,,,
Michigan,0,['cleaning'],0,0,2020-05-05 12:30:21+00:00,1.25764883013433E+18,Can't Find Cleaning Supplies? Try These Hacks https://t.co/13yizzXzkk,0,8.6990831501439E+17,Gino_Realtor,0.0,0.0,,,,
Michigan,0,['youtube'],0,0,2020-01-25 22:36:41+00:00,1.22120024303283E+18,"Watch ""10 Things You Didn't Know About The #WhiteHouse"" on YouTube - https://t.co/y8ctA44vvr",0,77082457.0,vavx99,0.0,0.0,,,,
Michigan,0,"['watch', 'amazon', 'netflix', 'watch']",0,0,2020-05-12 02:52:04+00:00,1.26004001365758E+18,"What’s some good to watch on Hulu, Amazon prime, or Netflix ? I officially ran out of shit to watch",1,2597136444.0,Rivera_300,0.0,1.0,,,,
Michigan,0,['zoom'],0,0,2020-04-16 02:03:43+00:00,1.25060576072529E+18,And the best thing about it?  Zoom call during with the 06 players and the text string with them that’s blowing up… https://t.co/HQw3qNdBqt,1,38718915.0,CoachMorehouse,4.0,58.0,,,,
Michigan,0,['posting'],0,0,2020-05-14 04:35:07+00:00,1.26079072178482E+18,Another thing y’all be posting other people money and ion like that either,0,1.02411858565082E+18,DolledUpKB,0.0,0.0,,,,
