state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,is_relevant,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place
Florida,0,['delivered'],0,0,2020-06-21 14:04:57+00:00,1274704864828891139,“ May all that have life be delivered from suffering “ -Buddha,0,131570295,thexbasha,0.0,0.0,,,,
Florida,0,['watch'],0,0,2020-07-03 18:51:38+00:00,1279125667192291328,@brettrader READ MORE. WATCH LESS.,0,44057969,lisanapoli,0.0,0.0,,,,
Florida,0,['watch'],0,0,2020-04-06 13:24:42+00:00,1247153258310893569,Yall really questioning why athletes making more profit but yall the ones buying the gear and paying to watch the g… https://t.co/eLnRNLtrgy,0,2710456790,_DaAnimal_,0.0,0.0,,,,
Florida,0,['netflix'],0,0,2020-04-26 04:03:30+00:00,1254259786755039237,"The end of Extraction when Tyler dies, has me in legit tears.😩
#Extraction #ExtractionNetflix #Netflix @chrishemsworth",1,3242591642,RodriguezY__,0.0,0.0,,,,
Florida,0,['beer'],0,0,2020-05-01 17:49:12+00:00,1256279519578730500,"@kaL12578 Actually if you wipe a bit of 'alcohol' under your eyes and not any of that beer 🍺 crap, it has to be 'th… https://t.co/lfWvXAyCBy",0,1054377018278723584,JosephCShepard1,0.0,0.0,,,,
Florida,0,['clean'],0,0,2020-07-10 22:19:07+00:00,1281714598274650113,@alex_gazaman Lmaoooo I tried to clean that crib at one point and lawd 😅,0,197223039,MannieeGeee,0.0,0.0,"[[-71.4979797, 42.5261422], [-71.38542, 42.5261422], [-71.38542, 42.654152], [-71.4979797, 42.654152]]",United States,"Westford, MA",city
Florida,0,['cooked'],0,0,2020-05-23 02:02:28+00:00,1264013796957392896,"It shares basically every trait with a traditional pizza. It is shaped like a pizza, it is cooked like a pizza, it… https://t.co/y7VoVsXAnN",0,439071771,CTowersCBS,0.0,15.0,,,,
Florida,0,['watch'],0,0,2020-07-03 14:01:55+00:00,1279052754896531456,"I kid you not, I have been forced to watch 20 minutes of advertisement for a 3 minute video. This is getting ridicu… https://t.co/UnSZwA5fQh",1,1700447018,Bouzoulay,0.0,3.0,,,,
Florida,0,['watching'],0,0,2020-02-08 03:01:57+00:00,1225978041098211328,Finally getting around to watching #FordvFerrari https://t.co/H3ol3C2t97,1,27543038,judgep15,0.0,5.0,"[[-77.184452, 38.739182], [-77.119991, 38.739182], [-77.119991, 38.798553], [-77.184452, 38.798553]]",United States,"Franconia, VA",city
Florida,['drink'],['watch'],0,0,2020-04-08 22:01:25+00:00,1248008072234065921,You can smoke good drink good in ya car abs watch a movie 🎥,0,3022973524,Humble_me_23,0.0,0.0,"[[-91.655009, 30.146096], [-88.097889, 30.146096], [-88.097889, 34.995968], [-91.655009, 34.995968]]",United States,"Mississippi, USA",admin
Florida,['beach'],['watch'],0,0,2020-05-13 10:52:44+00:00,1260523366043303937,Came to #FortLauderdale beach to watch the sunrise with my bro @MrScottEddy. #Hyperlapse #sunrisers #sunrise… https://t.co/kUM50riWu9,0,28017532,OMARSHINEZ,1.0,9.0,"[[-80.20811, 26.080935], [-80.0902351, 26.080935], [-80.0902351, 26.219801], [-80.20811, 26.219801]]",United States,"Fort Lauderdale, FL",city
Florida,0,['watch'],0,0,2020-06-04 06:14:46+00:00,1268425945855266816,@SeminolePeej Don’t forget the MLK football graphic happens on Willie’s watch,0,36708395,brewmeone,0.0,2.0,,,,
Florida,0,['watched'],0,0,2020-07-03 02:25:44+00:00,1278877556826148864,"@AstralEyes7 @ZKahronicNebula I’ve watched beheading videos and all sorts of traumatic events, but this animal, I c… https://t.co/6ID9BYIcVQ",0,247780919,RobPages,0.0,0.0,,,,
Florida,0,['clean'],0,0,2020-07-05 16:01:19+00:00,1279807580282523648,"W/O any knowledge of the Counselor’s relationship Epstein,  only w/ I read,  HE IS CLEAN! https://t.co/9dSnHRdRGi",0,463894055,Caruso_tony,0.0,0.0,,,,
Florida,0,['watch'],0,0,2020-04-19 14:54:50+00:00,1251886982218776578,"Really just pulled an all-nighter to watch 12 straight hours of BTS... 

I am now recharged a ready for finals week… https://t.co/7WeCIKwFLk",1,3245368332,Nghila2000,0.0,5.0,,,,
Florida,['delivery'],['delivery'],0,0,2020-05-23 13:57:26+00:00,1264193725514895362,"@FedExHelp is terrible. Package is *in jacksonville* where I live, but has been rescheduled for delivery to NEXT WE… https://t.co/DWGIUcZm9W",1,14484851,Birdland2131,0.0,0.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin
Florida,0,['watching'],0,0,2020-05-01 16:20:57+00:00,1256257311288578049,i love watching videos of myself i’m so funny 😭,0,603258414,IMulaa16,0.0,0.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin
Florida,['delivery'],['delivery'],0,0,2020-04-16 18:43:28+00:00,1250857356415709184,"@SenSchumer Put #PeopleBeforeProfit 

Take care of healthcare workers, delivery people and sanitizers",0,409152307,slappync17,0.0,1.0,,,,
Florida,0,['baking'],0,0,2020-03-25 23:27:20+00:00,1242956259814408193,So much kut 🤮 all baking soda 😭 https://t.co/LruhyQiBQP,0,1002275078229446656,NoKutBeazy,0.0,1.0,,,,
Florida,0,['playstation'],0,0,2020-01-15 20:29:26+00:00,1217544341453000710,I can’t control my Ex Box so I PlayStation,1,3361663677,Gasmoneyx,0.0,0.0,,,,
Florida,0,['gaming'],0,0,2020-04-09 04:38:27+00:00,1248107989044731904,@ThisisJuba Scattegories generator changed everything. See you all online for gaming or see ya never.,0,544575484,FloydtheRover,0.0,0.0,,,,
Florida,0,['cooking'],0,0,2020-07-04 02:18:58+00:00,1279238242131468301,"I don’t really fw Ak like that but he got a point and he cooking Meek, just being objective 🤷🏿‍♂️",0,172815511,4thQtr_Ninja,0.0,1.0,,,,
Florida,0,['watched'],0,0,2020-05-11 02:23:22+00:00,1259670405578719234,"When I saw MJ rock 45, it felt like i just watched a parent marry someone else.",0,47232366,JustinDYoung,0.0,1.0,"[[-84.107404, 34.001413], [-84.024808, 34.001413], [-84.024808, 34.096528], [-84.107404, 34.096528]]",United States,"Suwanee, GA",city
Florida,0,['watch'],0,0,2020-03-12 16:34:03+00:00,1238141214664331271,na moral meu apple watch foi uma das melhores coisas que eu já comprei eu achei real que ia ser bobagem mas ele é m… https://t.co/e5q49Ny442,0,1142690113295650816,joalinaart,0.0,1.0,,,,
Florida,['visit'],['watching'],0,0,2020-06-06 16:17:04+00:00,1269302297127006214,"Man, my desire to visit New Orleans has been reawakened after watching #TrueBlood and playing #Mafia3 during this q… https://t.co/rWaB4nTOfP",1,745386434803048448,IronChris24,0.0,3.0,,,,
Florida,0,['wine'],0,0,2020-03-05 23:24:25+00:00,1235707769279279104,Last dude standing in #avignon .Cheers to Dave champagnehenriot . Exceptional fantasy wine tour @jc_boisset… https://t.co/vtpbEAsGuM,1,83177589,minoritywine,0.0,1.0,"[[4.739928, 43.8864442], [4.9271008, 43.8864442], [4.9271008, 43.9949374], [4.739928, 43.9949374]]",France,"Avignon, France",city
Florida,0,['cleaned'],0,0,2020-03-17 04:19:34+00:00,1239768313670098944,So I ended up getting drunk and dropping pizza rolls all over the carpet. Cleaned it all up and didn’t even eat the pizza rolls. Goodnight.,1,125175973,davsubtweet,0.0,10.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin
Florida,0,['watching'],0,0,2020-01-22 14:41:24+00:00,1219993472263954435,This is way better than watching impeachment trial! 😂😂😍😍😍💛💛❤️❤️ https://t.co/jEvrlWT6Nz,0,831254911358754816,BarbraRaymond24,0.0,1.0,"[[-80.362648, 27.336888], [-80.305783, 27.336888], [-80.305783, 27.399123], [-80.362648, 27.399123]]",United States,"White City, FL",city
